OBJECTID,SOVEREIGNT,TYPE_,COUNTRY,FIRST_OFFICIAL,SECOND_OFFICIAL,THIRD_OFFICIAL,ENGLISH_FIRST,FRENCH_FIRST,ARABIC_FIRST,SPANISH_FIRST,PORTUGUESE_FIRST,CHINESE_FIRST,RUSSIAN_FIRST,WORLD_LANGUAGES_FIRST
191,United Kingdom,Dependency,Saint Helena,English, , ,1,0,0,0,0,0,0,English
118,United States of America,Dependency,Northern Mariana Islands,Chamorro,English, ,1,0,0,0,0,0,0,English
119,Mozambique,Sovereign country,Mozambique,Portuguese, , ,0,0,0,0,1,0,0,Portuguese
120,Mauritania,Sovereign country,Mauritania,Arabic, , ,0,0,1,0,0,0,0,Arabic
121,North Korea,Sovereign country,North Korea,Korean, , ,0,0,0,0,0,0,0,Other
122,Portugal,Sovereign country,Portugal,Portuguese,Mirandese, ,0,0,0,0,1,0,0,Portuguese
123,Paraguay,Sovereign country,Paraguay,Spanish,Guarani, ,0,0,0,1,0,0,0,Spanish
124,Israel,Disputed,Palestine,Arabic,  , ,0,0,1,0,0,0,0,Arabic
125,France,Dependency,French Polynesia,French,Polynesian, ,0,1,0,0,0,0,0,French
126,Qatar,Sovereign country,Qatar,Arabic, , ,0,0,1,0,0,0,0,Arabic
127,United Kingdom,Dependency,Montserrat,English, , ,1,0,0,0,0,0,0,English
128,Mauritius,Sovereign country,Mauritius,French,English, ,1,1,0,0,0,0,0,English_French
129,Malawi,Sovereign country,Malawi,English, , ,1,0,0,0,0,0,0,English
130,Malaysia,Sovereign country,Malaysia,Bahasa Malaysia, , ,0,0,0,0,0,0,0,Other
131,Namibia,Sovereign country,Namibia,English, , ,1,0,0,0,0,0,0,English
132,France,Dependency,New Caledonia,French, , ,0,1,0,0,0,0,0,French
133,Niger,Sovereign country,Niger,French, , ,0,1,0,0,0,0,0,French
134,Australia,Dependency,Norfolk Island,English, , ,1,0,0,0,0,0,0,English
135,Nigeria,Sovereign country,Nigeria,English, , ,1,0,0,0,0,0,0,English
136,Nicaragua,Sovereign country,Nicaragua,Spanish, , ,0,0,0,1,0,0,0,Spanish
137,New Zealand,Dependency,Niue,Niuean,English, ,1,0,0,0,0,0,0,English
138,Netherlands,Country,Netherlands,Dutch, , ,0,0,0,0,0,0,0,Other
139,Norway,Sovereign country,Norway,Norwegian, , ,0,0,0,0,0,0,0,Other
140,Nepal,Sovereign country,Nepal,Nepali, , ,0,0,0,0,0,0,0,Other
141,Nauru,Sovereign country,Nauru,Nauruan, , ,0,0,0,0,0,0,0,Other
142,New Zealand,Country,New Zealand,English,Maori, ,1,0,0,0,0,0,0,English
143,Oman,Sovereign country,Oman,Arabic, , ,0,0,1,0,0,0,0,Arabic
144,Pakistan,Sovereign country,Pakistan,English,Urdu, ,1,0,0,0,0,0,0,English
145,Panama,Sovereign country,Panama,Spanish, , ,0,0,0,1,0,0,0,Spanish
146,United Kingdom,Dependency,Pitcairn Islands,English, , ,1,0,0,0,0,0,0,English
147,Peru,Sovereign country,Peru,Spanish,Quechua,Aymara,0,0,0,1,0,0,0,Spanish
148,Philippines,Sovereign country,Philippines,Filipino,English, ,1,0,0,0,0,0,0,English
149,Palau,Sovereign country,Palau,English,Palauan, ,1,0,0,0,0,0,0,English
150,Papua New Guinea,Sovereign country,Papua New Guinea,Tok Pisin,English,Hiri Motu,1,0,0,0,0,0,0,English
151,Poland,Sovereign country,Poland,Polish, , ,0,0,0,0,0,0,0,Other
152,United States of America,Dependency,Puerto Rico,Spanish,English, ,1,0,0,1,0,0,0,English_Spanish
153,Saint Kitts and Nevis,Sovereign country,Saint Kitts and Nevis,English, , ,1,0,0,0,0,0,0,English
154,South Korea,Sovereign country,South Korea,Korean, , ,0,0,0,0,0,0,0,Other
192,Solomon Islands,Sovereign country,Solomon Islands,Melanesian pidgin,English, ,1,0,0,0,0,0,0,English
193,Sierra Leone,Sovereign country,Sierra Leone,English, , ,1,0,0,0,0,0,0,English
194,El Salvador,Sovereign country,El Salvador,Spanish, , ,0,0,0,1,0,0,0,Spanish
195,San Marino,Sovereign country,San Marino,Italian, , ,0,0,0,0,0,0,0,Other
196,Somaliland,Indeterminate,Somaliland,Somali,Arabic,English,1,0,1,0,0,0,0,English_Arabic
197,Somalia,Sovereign country,Somalia,Somali,Arabic, ,0,0,1,0,0,0,0,Arabic
198,France,Dependency,Saint Pierre and Miquelon,French, , ,0,1,0,0,0,0,0,French
199,Republic of Serbia,Sovereign country,Republic of Serbia,Serbian, , ,0,0,0,0,0,0,0,Other
227,United States of America,Country,United States of America,English, , ,1,0,0,0,0,0,0,English
228,Uzbekistan,Sovereign country,Uzbekistan,Uzbek,Karakalpakstani, ,0,0,0,0,0,0,0,Other
229,Vatican,Sovereign country,Vatican,Italian,Latin,French,0,1,0,0,0,0,0,French
230,Saint Vincent and the Grenadines,Sovereign country,Saint Vincent and the Grenadines,English, , ,1,0,0,0,0,0,0,English
231,Venezuela,Sovereign country,Venezuela,Spanish, , ,0,0,0,1,0,0,0,Spanish
232,United Kingdom,Dependency,British Virgin Islands,English, , ,1,0,0,0,0,0,0,English
233,Vietnam,Sovereign country,Vietnam,Vietnamese, , ,0,0,0,0,0,0,0,Other
234,Vanuatu,Sovereign country,Vanuatu,Creole,English,French,1,1,0,0,0,0,0,English_French
200,Sao Tome and Principe,Sovereign country,Sao Tome and Principe,Portuguese, , ,0,0,0,0,1,0,0,Portuguese
201,Suriname,Sovereign country,Suriname,Dutch, , ,0,0,0,0,0,0,0,Other
202,Slovakia,Sovereign country,Slovakia,Slovak, , ,0,0,0,0,0,0,0,Other
203,Slovenia,Sovereign country,Slovenia,Slovenian, , ,0,0,0,0,0,0,0,Other
204,Sweden,Sovereign country,Sweden,Swedish, , ,0,0,0,0,0,0,0,Other
205,Swaziland,Sovereign country,Swaziland,English,siSwati, ,1,0,0,0,0,0,0,English
206,Netherlands,Country,Sint Maarten,English,Dutch, ,1,0,0,0,0,0,0,English
207,Seychelles,Sovereign country,Seychelles,Creole,English,French,1,1,0,0,0,0,0,English_French
208,Syria,Sovereign country,Syria,Arabic, , ,0,0,1,0,0,0,0,Arabic
209,United Kingdom,Dependency,Turks and Caicos Islands,English, , ,1,0,0,0,0,0,0,English
210,Chad,Sovereign country,Chad,French,Arabic,Sara,0,1,1,0,0,0,0,French_Arabic
211,Thailand,Sovereign country,Thailand,Thai, , ,0,0,0,0,0,0,0,Other
212,Tajikistan,Sovereign country,Tajikistan,Tajik, , ,0,0,0,0,0,0,0,Other
213,Turkmenistan,Sovereign country,Turkmenistan,Turkmen, , ,0,0,0,0,0,0,0,Other
214,Togo,Sovereign country,Togo,French, , ,0,1,0,0,0,0,0,French
215,East Timor,Sovereign country,East Timor,Tetum,Portuguese, ,0,0,0,0,1,0,0,Portuguese
216,Tonga,Sovereign country,Tonga,Tongan,English, ,1,0,0,0,0,0,0,English
217,Trinidad and Tobago,Sovereign country,Trinidad and Tobago,English, , ,1,0,0,0,0,0,0,English
218,Tunisia,Sovereign country,Tunisia,Arabic, , ,0,0,1,0,0,0,0,Arabic
219,Turkey,Sovereign country,Turkey,Turkish, , ,0,0,0,0,0,0,0,Other
220,Tuvalu,Sovereign country,Tuvalu,Tuvaluan,English, ,1,0,0,0,0,0,0,English
221,Taiwan,Sovereign country,Taiwan,Standard Chinese or Mandarin, , ,0,0,0,0,0,1,0,Chinese
222,United Republic of Tanzania,Sovereign country,United Republic of Tanzania,Swahili,English, ,1,0,0,0,0,0,0,English
223,Uganda,Sovereign country,Uganda,English,Swahili, ,1,0,0,0,0,0,0,English
224,Ukraine,Sovereign country,Ukraine,Ukrainian, , ,0,0,0,0,0,0,0,Other
225,United States of America,Dependency,United States Minor Outlying Islands,English, , ,1,0,0,0,0,0,0,English
226,Uruguay,Sovereign country,Uruguay,Spanish, , ,0,0,0,1,0,0,0,Spanish
